ticker,action,entry_date,exit_date,entry,exit,shares,pnl_pct,half_sold,days
TMUS,STOP,2025-04-15,2025-04-21,257.1399037905843,247.7,149.3014721931043,-3.6711158600542193,False,6
WELL,TARGET,2024-09-10,2025-07-29,123.72278251748354,160.15,138.40491788969115,29.442610925250445,True,322
PM,STOP,2025-04-22,2025-10-21,156.40537689990268,144.95,240.7940015775983,-7.324157984181056,False,182
EBAY,STOP,2025-08-05,2025-10-31,91.46399483361547,81.71857765790337,393.88662450393946,-10.654921855797184,False,87
GLW,STOP,2025-10-28,2025-11-13,83.58111039613874,81.95,417.17112390654495,-1.951529943079211,False,16
GOOGL,HALF,2025-11-04,2025-11-25,276.03213953132416,325.3638477455269,58.2438099912793,17.87172620476849,False,21
GOOG,HALF,2025-11-18,2026-01-08,287.7338640518037,329.02193202590183,59.34998816771849,14.349394747176714,False,51
T,STOP,2025-02-25,2026-01-13,25.139314148249486,22.9,1629.1236940551519,-8.907618302726917,False,322
AMAT,STOP,2026-01-27,2026-02-04,323.29782646167786,294.47,118.59126113210823,-8.916801816202414,False,8
MRNA,STOP,2026-02-10,2026-02-11,42.869998931884766,37.60499954223633,852.7138302654548,-12.281314487583462,False,1
LUV,STOP,2026-02-24,2026-02-27,50.00839248757087,48.72,694.8202952120482,-2.5763525350091854,False,3
AMAT,STOP,2026-03-03,2026-03-05,350.0899283566777,344.69,97.54594340025452,-1.5424403615450943,False,2
ALB,STOP,2026-03-10,2026-03-11,170.60081878243966,163.66,199.91121953741316,-4.068455727220755,False,1
COHR,HALF,2026-03-17,2026-03-20,235.25999450683594,280.5299987792969,71.7410567675087,19.24254243368417,False,3
GOOG,STOP,2025-11-18,2026-03-25,287.7338640518037,287.7338640518037,59.34998816771849,0.0,True,127
GOOGL,STOP,2025-11-04,2026-03-27,276.03213953132416,276.03213953132416,58.2438099912793,0.0,True,143
COHR,STOP,2026-03-17,2026-03-30,235.25999450683594,235.25999450683594,71.7410567675087,0.0,True,13
PSX,STOP,2026-03-31,2026-04-08,182.71665836655075,164.62471973040374,184.60180065686464,-9.901636116753231,False,8
XOM,STOP,2026-03-31,2026-04-08,170.40252029916738,151.50400750448705,197.94204971412768,-11.090512488607052,False,8
MPC,STOP,2026-03-31,2026-04-09,243.8987696358962,223.32,138.15606520126826,-8.437422487459523,False,9
GEV,HALF,2026-04-14,2026-04-23,999.4892825356013,1147.3038160299416,15.202694596772083,14.789006353259747,False,9
FIX,HALF,2026-04-14,2026-05-04,1643.5044936916138,1878.867246845807,9.245444946125447,14.320785495725975,False,20
