ticker,action,entry_date,exit_date,entry,exit,shares,pnl_pct,half_sold,days
ETN,STOP,2023-09-12,2023-09-13,228.22375731627284,214.85,145.90943726271584,-5.859932144460956,False,1
WDAY,STOP,2023-09-12,2023-09-21,250.3000030517578,233.59,133.17352347950458,-6.67598995126758,False,9
BX,STOP,2023-09-19,2023-09-26,103.74332492974608,96.19,301.8634528612192,-7.280781616418331,False,7
DELL,STOP,2023-09-26,2023-09-27,66.52139050412126,64.52,445.2526633059768,-3.0086420156795524,False,1
LII,MA50,2023-09-12,2023-10-04,379.3685075368787,355.06696349691873,87.86531478260086,-6.405788450322969,False,22
ARES,MA50,2023-10-10,2023-10-23,100.84500774406553,93.1960309847555,303.8181822705314,-7.584883902951711,False,13
FICO,STOP,2023-10-24,2023-10-25,927.1900024414062,845.1199951171875,31.077500111155608,-8.851476731642727,False,1
META,MA50,2023-10-03,2023-10-26,301.61135737230416,292.4319477072552,95.15068935886917,-3.043456236204678,False,23
CASY,MA50,2023-09-26,2023-12-11,273.2779281350602,268.64550801202296,111.47793854338876,-1.695131456334742,False,76
CBOE,MA50,2023-10-31,2024-01-05,159.37616734097372,170.04378593820348,163.37092771115977,6.693358721826437,False,66
FICO,MA50,2023-12-12,2024-03-14,1140.18994140625,1251.52001953125,26.241289811193305,9.764169467035577,False,93
ERIE,STOP,2024-03-19,2024-03-22,396.3377611605627,380.24,82.78596268677337,-4.061626909690608,False,3
DASH,STOP,2024-03-26,2024-04-19,138.44000244140625,126.6,227.1481438072696,-8.552443103587382,False,24
DELL,MA50,2024-01-09,2024-06-10,75.87722041829225,124.67006084967898,365.74034702878635,64.30499188347166,False,153
GE,MA50,2024-04-23,2024-06-14,155.76300308955598,152.20029816572338,184.42667876138214,-2.2872600381133035,False,52
QCOM,STOP,2024-06-11,2024-06-26,197.43690404524963,188.45,218.74484531421615,-4.551785335526725,False,15
NRG,MA50,2023-10-31,2024-07-01,40.0415237936399,76.2550135642195,699.1850694109276,90.43983929585534,False,244
ORCL,STOP,2024-07-02,2024-07-30,139.16938099530515,133.55,301.230243458048,-4.037799805615794,False,28
NTAP,MA50,2024-06-18,2024-07-31,121.1002840670504,120.47779686399417,251.07761805360255,-0.5140262121198336,False,43
TPL,MA50,2024-07-02,2024-09-06,241.8298699656197,263.6724644554939,173.3533848613554,9.032215289608159,False,66
IRM,MA50,2024-08-06,2024-11-07,98.56106092842342,107.55663453229073,398.7647137914753,9.126904194345098,False,93
WELL,MA50,2024-09-10,2024-12-09,123.72278251748354,127.61210370024169,356.69364840456427,3.143577200269121,False,90
UAL,STOP,2024-12-10,2024-12-18,97.58000183105469,93.14,466.0122586972325,-4.550114519101866,False,8
HWM,MA50,2024-08-06,2024-12-19,87.9138049868552,109.11606243448094,474.44420624416136,24.117096798160297,False,135
GDDY,STOP,2024-12-24,2024-12-30,205.2899932861328,198.69,230.9701334607332,-3.2149610317020016,False,6
APO,MA50,2024-11-12,2025-01-08,160.30242092731118,158.36156138261333,276.8589382225927,-1.2107487419531382,False,57
DECK,STOP,2024-12-24,2025-01-13,208.0500030517578,198.19,227.90606321527042,-4.7392467710297925,False,20
WSM,MA50,2025-01-14,2025-02-24,191.90499219649539,192.14307407273634,229.19427805666987,0.12406236727660058,False,41
HOOD,MA50,2025-01-14,2025-02-26,41.79999923706055,47.310001373291016,1086.0123533995268,13.181823533013869,False,43
FISV,STOP,2025-03-04,2025-03-05,235.69000244140625,224.14999389648438,212.78885275692363,-4.896265613892881,False,1
TPR,MA50,2024-12-31,2025-03-10,64.34949399353073,71.12973983672816,709.198648799439,10.536595429762151,False,69
ABBV,STOP,2025-03-11,2025-03-25,206.43360141447883,190.96,229.02110374271393,-7.495679631830288,False,14
