ticker,action,entry_date,exit_date,entry,exit,shares,pnl_pct,half_sold,days
GNRC,STOP,2020-09-01,2020-09-03,189.7100067138672,178.59,52.712032291910894,-5.861581529876325,False,2
FSLR,STOP,2020-09-01,2020-09-03,76.61000061035156,72.46,130.5312611973638,-5.417048136390202,False,2
UPS,STOP,2020-09-01,2020-09-04,125.9216574100456,120.06,79.4144566207261,-4.655003381156231,False,3
CRWD,STOP,2020-09-01,2020-09-04,33.61000061035156,30.620001220703127,297.5304914728295,-8.896159879055588,False,3
XYZ,STOP,2020-09-01,2020-09-04,164.80999755859375,146.67,60.67593075744552,-11.006612358054657,False,3
WDAY,STOP,2020-09-01,2020-09-04,241.6999969482422,215.74,41.37360416326943,-10.740586378162542,False,3
PWR,STOP,2020-09-01,2020-09-21,50.628171628906244,48.14,197.5184897708311,-4.914599024321897,False,20
CRM,STOP,2020-09-15,2020-09-21,247.09513090875197,234.2,39.41527707406576,-5.218690818118121,False,6
LEN,STOP,2020-09-22,2020-10-27,68.20321140208878,64.87,133.42666906873984,-4.887176620523026,False,35
DELL,STOP,2020-09-15,2020-10-28,31.078449019222877,28.564546720202816,313.3786709367952,-8.088892394421432,False,43
MRVL,STOP,2020-09-15,2020-10-29,38.81699099734681,35.244735652018676,250.90360685316145,-9.202813648209618,False,44
XYZ,STOP,2020-09-15,2020-10-30,146.1300048828125,154.75200195312502,66.64834546629464,5.900223624317835,False,45
CRWD,STOP,2020-09-15,2020-10-30,32.662750244140625,30.779998779296875,201.7187341647518,-5.7642159670295845,False,45
DECK,STOP,2020-11-03,2020-11-10,43.13833236694336,40.46,79.73738347576759,-6.208706317529666,False,7
MPWR,STOP,2020-11-03,2020-11-16,306.9008064619706,289.21,32.16616541362175,-5.764340167728676,False,13
ALGN,STOP,2020-11-17,2020-11-18,452.0,443.45,4.792396062436585,-1.8915929203539794,False,1
FDX,STOP,2020-09-01,2021-01-08,158.9625996520375,177.19891049059407,62.90787909791097,11.472076374238394,False,129
ALGN,STOP,2021-01-12,2021-01-25,552.3400268554688,510.24,20.169772188791796,-7.622121303637675,False,13
FCX,STOP,2020-09-01,2021-01-27,14.58049222939516,24.153997223845266,685.847901611949,65.6596831151512,False,148
TER,STOP,2021-01-26,2021-01-27,137.7232365563389,127.12,74.64759629626151,-7.698945233545529,False,1
XYZ,STOP,2020-11-24,2021-02-25,208.0,226.552001953125,10.20693441519447,8.919231708233166,False,93
QCOM,STOP,2020-11-17,2021-03-03,131.17849785782636,118.7770614734846,78.89729814316503,-9.45386369478225,False,106
CRWD,STOP,2021-03-02,2021-03-03,56.625,54.17,96.99614882478787,-4.335540838852092,False,1
FLEX,STOP,2020-11-03,2021-03-05,10.565184593200684,12.08138656616211,934.3728942116882,14.350927421913573,False,122
GNRC,STOP,2020-11-03,2021-03-05,215.99000549316406,291.2,45.704994931083036,34.8210531015595,False,122
GE,STOP,2021-03-09,2021-03-11,68.56288322288883,61.706610937436785,171.98725388846515,-9.999976610031425,False,2
