ticker,action,entry_date,exit_date,entry,exit,shares,pnl_pct,half_sold,days
GNRC,STOP,2020-09-01,2020-09-03,189.7100067138672,178.59,105.21321645465414,-5.861581529876325,False,2
UPS,STOP,2020-09-01,2020-09-04,125.9216574100456,120.06,158.8289132414522,-4.655003381156231,False,3
FDX,HALF,2020-09-01,2020-09-16,158.9625996520375,183.3599406117705,62.90787909791097,15.347849754053943,False,15
PWR,STOP,2020-09-01,2020-09-21,50.628171628906244,48.14,395.0369795416622,-4.914599024321897,False,20
FCX,HALF,2020-09-01,2020-10-21,14.58049222939516,16.72024611469758,685.847901611949,14.675457122006797,False,50
DELL,MA50,2020-09-15,2020-10-27,31.078449019222877,29.835308599283984,569.2808650531273,-4.000007912782189,False,42
MRVL,STOP,2020-09-15,2020-10-29,38.81699099734681,35.21,518.5277743915817,-9.29229933766208,False,44
VRT,MA50,2020-09-22,2020-11-03,16.98964291046701,17.526787809640215,1161.5797764676445,3.161602053697554,False,42
FLEX,HALF,2020-11-03,2020-11-09,10.565184593200684,12.022592296600342,968.2131610752479,13.794436723212456,False,6
MPWR,STOP,2020-11-03,2020-11-16,306.9008064619706,289.21,66.6622606193373,-5.764340167728676,False,13
GNRC,MA50,2020-11-03,2020-12-04,215.99000549316406,208.0,94.72059365867365,-3.699247784600357,False,31
FDX,MA50,2020-09-01,2020-12-21,158.9625996520375,197.30116551427787,62.90787909791097,24.117978660491126,True,111
TPR,HALF,2020-12-08,2021-01-06,25.41295239926608,29.621476199633037,430.4656744823082,16.560546504972407,False,29
PWR,HALF,2020-11-17,2021-01-20,67.98076702855428,78.61538351427714,155.15697043351864,15.643566482937675,False,64
FCX,MA50,2020-09-01,2021-01-28,14.58049222939516,24.46809386536617,685.847901611949,67.81390834005592,True,149
FLEX,MA50,2020-11-03,2021-01-28,10.565184593200684,15.003767967224121,968.2131610752479,42.011413382023875,True,86
TPR,MA50,2020-12-08,2021-01-28,25.41295239926608,27.00563041113118,430.4656744823082,6.2671900015485615,True,51
ALGN,MA50,2020-12-22,2021-01-28,531.989990234375,509.3599853515625,40.96813444430764,-4.253840353808647,False,37
PWR,MA50,2020-11-17,2021-02-01,67.98076702855428,70.90152758249184,155.15697043351864,4.296451307633431,True,76
AMAT,HALF,2021-02-02,2021-02-12,98.2776287659744,111.9138143829872,116.31573953774483,13.875167510893283,False,10
COHR,STOP,2021-02-02,2021-02-23,89.81999969482422,83.52,254.53651990134597,-7.014027740179618,False,21
