date,equity,positions
2020-08-28,100000.0,0
2020-08-31,100000.0,0
2020-09-01,101924.69123877102,5
2020-09-02,102760.51325298515,5
2020-09-03,98246.11409948804,4
2020-09-04,99175.51974844518,3
2020-09-08,98088.61642592248,3
2020-09-09,99392.41587708279,3
2020-09-10,98383.29297019629,3
2020-09-11,99938.21339563231,3
2020-09-14,100650.09567563134,3
2020-09-15,100144.95135827587,5
2020-09-16,101788.67185936752,5
2020-09-17,101950.11964587176,5
2020-09-18,101425.71371495139,5
2020-09-21,97967.12290590718,4
2020-09-22,98537.16212938829,5
2020-09-23,96171.86700664042,5
2020-09-24,97077.32843765272,5
2020-09-25,97622.27022640406,5
2020-09-28,100103.74027815515,5
2020-09-29,99543.96682311628,5
2020-09-30,100046.98792982096,5
2020-10-01,100988.75920133431,5
2020-10-02,100805.65561649002,5
2020-10-05,102877.0530564267,5
2020-10-06,102253.47924256342,5
2020-10-07,104697.50576273123,5
2020-10-08,105193.4002246921,5
2020-10-09,106566.58469858971,5
2020-10-12,105713.20654891584,5
2020-10-13,106060.15523023986,5
2020-10-14,106625.27344351383,5
2020-10-15,106902.43768339421,5
2020-10-16,106995.59340594626,4
2020-10-19,106226.3767930284,4
2020-10-20,106748.4230726056,5
2020-10-21,106658.65345783182,5
2020-10-22,107636.029034917,5
2020-10-23,107523.0683158319,5
2020-10-26,104492.44869200437,5
2020-10-27,104372.56612115735,5
2020-10-28,101351.27637381952,4
2020-10-29,101135.98918491587,3
2020-10-30,100201.89771140332,3
2020-11-02,100599.17357358444,3
2020-11-03,101226.1538139522,5
2020-11-04,102752.30471086205,5
2020-11-05,108036.89220194586,5
2020-11-06,108802.28037154992,5
2020-11-09,107315.13567547934,4
2020-11-10,106530.61404205943,5
2020-11-11,108248.93451739715,5
2020-11-12,107114.94569274705,5
2020-11-13,108876.74481186274,5
2020-11-16,110406.24254081989,4
2020-11-17,110164.11610299005,5
2020-11-18,109469.61449762745,5
2020-11-19,110683.35553844809,5
2020-11-20,110428.60522681147,5
2020-11-23,112036.07275000622,5
2020-11-24,113820.34235184558,5
2020-11-25,113620.16053229006,5
2020-11-27,113551.69660411109,5
2020-11-30,112860.04132700697,5
2020-12-01,114999.69234183914,5
2020-12-02,114894.3471869145,5
2020-12-03,115132.31803457226,5
2020-12-04,116989.48935207355,5
2020-12-07,116756.91495400877,5
2020-12-08,117011.02030020428,5
2020-12-09,116397.675370309,5
2020-12-10,116740.83227019066,5
2020-12-11,115306.84500913922,5
2020-12-14,114245.71597439323,5
2020-12-15,115179.483243564,5
2020-12-16,114804.60274112113,5
2020-12-17,115991.5101329122,4
2020-12-18,115544.98338722278,4
2020-12-21,115606.60235271999,4
2020-12-22,115576.31912205541,5
2020-12-23,116017.59459316029,5
2020-12-24,116261.65453144273,5
2020-12-28,115544.53319754126,5
2020-12-29,115532.58821866337,5
2020-12-30,116570.13027829536,4
2020-12-31,117551.19661908544,4
2021-01-04,115586.49618895043,4
2021-01-05,117815.52335016974,5
2021-01-06,119407.05855509808,5
2021-01-07,122269.94366769059,5
2021-01-08,122360.58796127036,5
2021-01-11,122397.9005561047,5
2021-01-12,123187.26229682821,5
2021-01-13,123112.51228017433,5
2021-01-14,124684.15793427566,5
2021-01-15,124818.9461318462,5
2021-01-19,126976.03607054899,5
2021-01-20,127754.20686196451,4
2021-01-21,126733.67675638152,4
2021-01-22,126032.8913737525,4
2021-01-25,125697.76125275949,4
2021-01-26,124942.0556144063,5
2021-01-27,120845.62237371432,4
2021-01-28,122319.17607818905,4
2021-01-29,121097.49947449373,4
2021-02-01,122757.76690854123,4
2021-02-02,124073.70600003008,5
2021-02-03,122199.64735490784,5
2021-02-04,126742.5227092222,5
2021-02-05,126386.50649431617,5
2021-02-08,127765.65609863211,5
2021-02-09,128516.45244142972,5
2021-02-10,128577.6079970111,5
2021-02-11,131349.11212242505,3
2021-02-12,132670.49661723195,3
2021-02-16,132927.5789938009,3
2021-02-17,132165.74386669535,3
2021-02-18,131639.77218048627,3
2021-02-19,132678.65367898467,3
2021-02-22,131848.46786709072,3
2021-02-23,133211.99389938347,5
2021-02-24,136519.48273737732,5
2021-02-25,132750.70598739202,5
2021-02-26,133513.44901542598,5
2021-03-01,138679.30769615097,5
2021-03-02,135864.31109832885,5
2021-03-03,136476.79789224663,4
2021-03-04,136415.60078798103,4
2021-03-05,139170.0097516966,3
2021-03-08,138629.4306686392,3
2021-03-09,140294.7757582328,5
2021-03-10,140312.81111255405,5
2021-03-11,142730.39795217372,4
2021-03-12,142979.29254620476,4
2021-03-15,143035.62347549133,4
2021-03-16,139880.22985297264,5
2021-03-17,142103.57503397518,5
2021-03-18,139731.5652659656,5
2021-03-19,139615.8088859651,5
2021-03-22,138915.0351561316,5
2021-03-23,132805.8567085039,4
2021-03-24,132384.70175426727,4
2021-03-25,132165.6356478381,3
2021-03-26,134738.87514379743,3
2021-03-29,133453.88779268507,3
2021-03-30,135156.2476286115,5
2021-03-31,135298.4934867023,4
2021-04-01,137502.50057503572,3
2021-04-05,138199.97178032473,3
2021-04-06,137635.13395970187,5
2021-04-07,137009.3700696394,5
2021-04-08,138143.63466373127,5
2021-04-09,138104.97967189288,5
2021-04-12,137075.6079205899,5
2021-04-13,135377.74362814458,5
2021-04-14,135757.02682308696,5
2021-04-15,136920.83907570163,5
2021-04-16,136851.2795436109,5
2021-04-19,135481.67621781182,5
2021-04-20,132740.6936511477,4
2021-04-21,136021.16279930083,4
2021-04-22,133965.06610048757,4
2021-04-23,135103.2432545675,4
2021-04-26,135561.9349609613,4
2021-04-27,136184.48075107078,5
2021-04-28,136094.3516039022,5
2021-04-29,137106.38123445035,5
